,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ig01,ig02,ig03,ig04,ig05,ig06,ig07,ig08
60,WBGene00022517,321.5048566,2.803125512,0.1450995549,19.31863618,3.74E-83,1.07E-80,101.7734448,485.2722866,53.01251166,552.0805286,75.22001295,680.426283,88.82744178,535.4263432
61,WBGene00011383,336.9379775,2.615653215,0.1358953693,19.2475522,1.48E-82,4.17E-80,107.3247236,513.5798366,72.04264405,527.6454292,85.83930889,709.778005,110.7601434,568.533729
62,WBGene00006915,4724.402754,0.6991872711,0.03634181112,19.23919721,1.74E-82,4.82E-80,3537.089814,5750.476596,3562.712643,5746.829956,3722.94817,6011.766336,3579.416913,5883.981605
63,WBGene00000739,977.3780974,1.816130897,0.09524436669,19.06811878,4.65E-81,1.27E-78,449.6535834,1461.882763,353.4167444,1336.294502,499.9918508,1753.098306,418.914602,1545.772428
64,WBGene00000611,241.6012616,2.423437502,0.1275006702,19.00725305,1.49E-80,3.99E-78,88.82046092,411.4704597,72.04264405,432.1958219,77.87483693,426.0446922,63.60483485,360.7563421
65,WBGene00017717,741.4640759,1.347174633,0.0709675789,18.98295889,2.36E-80,6.24E-78,423.7476157,990.7642518,405.0699609,1020.929,408.8428939,1098.46596,434.2674931,1149.625432
66,WBGene00012255,187.7966112,3.564541207,0.1891171352,18.84832489,3.03E-79,7.89E-77,23.13032837,356.8773274,13.59295171,308.4931308,36.28259448,403.8085392,41.67213318,318.5158843
67,WBGene00022781,4310.63798,1.150889195,0.06113707352,18.82473479,4.74E-79,1.21E-76,2539.710055,5300.588747,2791.992281,5736.1396,2811.458602,6492.067241,2566.126096,6247.021215
68,WBGene00008027,131.9438365,-4.408087618,0.2344749242,-18.79982532,7.58E-79,1.91E-76,249.8075463,12.13180716,278.65551,12.98114659,253.9781614,10.67335346,225.9068272,11.41633994
69,WBGene00010049,5354.253447,0.6803613482,0.03621634763,18.78602876,9.83E-79,2.45E-76,4153.281761,6589.593258,4009.920754,6719.652354,4233.559317,6700.197634,4058.646445,6369.176052
70,WBGene00000713,43442.69307,1.22098283,0.06521876837,18.72134143,3.32E-78,8.14E-76,25577.51711,51790.68479,28585.97744,64233.76773,25473.92109,66283.30387,24703.89853,60892.47397
71,WBGene00006539,670.8017687,2.242061029,0.1199892494,18.68551592,6.49E-78,1.57E-75,222.9763654,876.5230676,233.7987694,952.9688793,242.4739241,1364.410351,236.8731781,1236.389615
72,WBGene00002258,3836.831809,0.6843242462,0.03688047468,18.55519085,7.40E-77,1.77E-74,2875.562422,4762.745296,2866.753515,4754.154041,3040.658406,4697.164968,2987.233968,4710.381859
73,WBGene00011107,223.9973485,2.569055788,0.1386011112,18.53560745,1.07E-76,2.51E-74,68.46577196,346.7674881,59.80898751,343.6185863,58.4061277,426.9341384,71.28128044,416.6964078
74,WBGene00002050,1161.173714,1.107004904,0.05987780943,18.48773217,2.59E-76,6.02E-74,714.2645399,1462.893747,744.8937536,1574.536722,722.1121243,1617.902495,765.4512884,1687.335043
75,WBGene00000597,10475.83319,1.138606467,0.0619556151,18.37777682,1.98E-75,4.53E-73,6807.718245,13016.4181,7185.234273,14937.48174,6335.294973,15402.53849,5853.838077,14268.14166
76,WBGene00017648,2515.018231,0.7540075482,0.04103328195,18.37551159,2.06E-75,4.66E-73,1929.994599,3234.137593,1882.623812,3123.111151,1863.686438,3154.865393,1811.641158,3120.085705
